ecli,indegree,outdegree,page_rank,hub_score,initial_hub_score,hub_rank,authority,betweenness,info_map
ECLI:EU:C:1965:63,0,1,3.158932163607213e-5,1.260968260292858e-10,NA,0,2.948429284573913e-17,0,216
ECLI:EU:C:1967:6,0,1,3.158932163607213e-5,8.536459040044869e-9,0,0,2.948429284573913e-17,0,1
ECLI:EU:C:1967:44,1,1,3.260750937059864e-5,1.7752427833910798e-9,4.594925976636252e-18,3.665475844295426e-5,1.3019453669346555e-6,11.8109243697479,92
ECLI:EU:C:1967:54,5,1,5.354768913629194e-5,1.1993983962050261e-7,1.148731494159067e-16,2.4979112106734145e-4,1.1829787384965867e-8,7.413411261940676,25
ECLI:EU:C:1968:17,4,1,6.584305597945528e-5,9.572277479279346e-13,1.5622748320563303e-16,1.8173308588328963e-4,2.2887900350754304e-11,760.8882190890912,17
ECLI:EU:C:1968:21,1,2,4.817371549501e-5,1.1624587742946348e-12,-0,3.3168787717875735e-5,8.817314141344378e-17,4,17
ECLI:EU:C:1968:24,1,1,3.2721341365969855e-5,2.052655879832332e-13,9.18985195327249e-18,4.754482865570441e-5,5.578767990230185e-10,1149.5104504745113,17
ECLI:EU:C:1969:16,7,1,7.866706207054815e-5,1.7523030912060928e-8,0,3.544229948806277e-4,1.9540218096752314e-6,0,2
ECLI:EU:C:1969:27,1,1,3.3168787717875735e-5,1.712720108188905e-17,0,3.158932163607213e-5,1.5443200457580858e-9,3,17
ECLI:EU:C:1969:58,0,1,3.158932163607213e-5,2.2410063214520038e-13,1.6082240918226918e-16,0,2.948429284573913e-17,0,17
ECLI:EU:C:1970:118,0,1,3.158932163607213e-5,1.1840713435683753e-12,0,0,2.948429284573913e-17,0,160
ECLI:EU:C:1971:4,0,1,3.158932163607213e-5,8.563600540944525e-18,0,0,2.948429284573913e-17,0,290
ECLI:EU:C:1971:24,5,1,7.824663192370013e-5,4.8513145435714525e-8,0,2.5071962882982485e-4,8.91616675367018e-9,787.2619793528268,8
ECLI:EU:C:1971:72,0,2,3.158932163607213e-5,9.772259517737798e-9,9.395056979213526e-18,0,5.896858569147827e-17,0,1
ECLI:EU:C:1971:99,1,1,4.3754846332209015e-5,2.5039860149478207e-11,8.925304130252926e-17,4.8662098784547514e-5,1.1921752819846838e-13,0,66
ECLI:EU:C:1971:122,1,2,3.384570175293443e-5,4.4819845327892275e-12,6.57653988544946e-17,3.158932163607213e-5,1.3155826177124113e-10,2,160
ECLI:EU:C:1972:65,7,2,4.8662098784547514e-5,2.5040988547856215e-11,0,2.669798144221643e-4,1.0281478838737062e-8,3342.726318780214,66
ECLI:EU:C:1972:121,0,1,3.158932163607213e-5,8.563600540944525e-18,2.9195964289417884e-17,0,2.948429284573913e-17,0,260
ECLI:EU:C:1973:13,10,1,8.343010758398979e-5,3.857135390237215e-12,0,4.0772350575773623e-4,9.45870983974073e-9,8238.898876404495,1
ECLI:EU:C:1973:86,0,1,3.158932163607213e-5,7.889716164015566e-9,0,0,2.948429284573913e-17,0,237
ECLI:EU:C:1973:141,0,1,3.158932163607213e-5,8.563600540944525e-18,0,0,2.948429284573913e-17,0,261
ECLI:EU:C:1973:152,42,1,1.2996242377065034e-4,2.9966863706452536e-8,3.041646748648755e-17,0.002119381159679677,2.0990021671844364e-6,2456.6314329181464,32
ECLI:EU:C:1973:153,2,1,4.9415831417958427e-05,2.9966863366980656e-8,3.041646748648755e-17,1.641282290500037e-4,5.448474983945565e-10,121.34209842267579,32
ECLI:EU:C:1973:154,2,1,4.9415831417958427e-05,2.9966863366980656e-8,3.041646748648755e-17,1.641282290500037e-4,5.448474983945565e-10,121.34209842267579,32
ECLI:EU:C:1973:155,2,1,4.9415831417958427e-05,2.9966863366980656e-8,3.041646748648755e-17,1.641282290500037e-4,5.448474983945565e-10,121.34209842267579,32
ECLI:EU:C:1974:12,4,1,4.9255234236047234e-5,8.688653833454747e-10,0,1.903148696399914e-4,1.0096832772679617e-9,3.143589743589744,2
ECLI:EU:C:1974:18,0,3,3.158932163607213e-5,1.37962014278172e-7,0,0,8.862072081148157e-17,0,25
ECLI:EU:C:1974:70,15,1,1.0831634199371919e-4,1.875753944503838e-10,2.105755441372213e-17,7.612366182828789e-4,6.258395773974921e-6,6057.100100833846,24
ECLI:EU:C:1974:140,15,1,1.1968416938275592e-4,3.6464313122342467e-9,0,9.238855263143143e-4,1.7843545493002803e-8,2857.5229193834352,1
ECLI:EU:C:1975:5,1,1,4.7241238245472914e-5,2.9342609751802945e-11,3.2989998226195775e-17,6.260766643760315e-5,1.3969372618444952e-13,0,41
ECLI:EU:C:1975:11,0,1,3.158932163607213e-5,1.6730917970740093e-12,1.5626841265040147e-17,0,2.948429284573913e-17,0,1
ECLI:EU:C:1975:39,0,1,3.158932163607213e-5,2.4608723491341974e-13,0,0,2.948429284573913e-17,0,236
ECLI:EU:C:1975:59,43,1,1.891856030187408e-4,6.450523070325693e-8,0,0.0032980339833995494,7.193083667162088e-6,0,9
ECLI:EU:C:1975:79,0,1,3.158932163607213e-5,1.1011293816060577e-11,2.430841974561772e-17,0,2.948429284573913e-17,0,2
ECLI:EU:C:1975:80,1,1,4.7383982454108197e-5,1.689679030500265e-17,2.430841974561772e-17,3.158932163607213e-5,5.891263826672354e-17,1,40
ECLI:EU:C:1975:81,6,1,1.4126075078509201e-4,9.594281708471998e-12,0,4.349398213960318e-4,9.555900121593567e-10,2748.795470450758,17
ECLI:EU:C:1975:93,4,1,7.236146408315975e-5,3.2838620558799196e-9,0,3.2871213147024874e-4,3.083173523069042e-8,0,9
ECLI:EU:C:1975:135,1,1,3.9486652045090164e-5,1.712720108188905e-17,0,3.158932163607213e-5,1.2318767438918127e-11,1,3
ECLI:EU:C:1975:171,2,1,3.9486652045090164e-5,2.5498792642094908e-17,0,6.317864327214426e-5,8.783745686491545e-17,0,157
ECLI:EU:C:1976:8,7,1,5.22430632568793e-5,1.3528963697865763e-8,0,3.335893650175324e-4,3.2411801054518275e-8,396.42818278313035,9
ECLI:EU:C:1976:18,11,1,9.988911105811602e-5,2.375572589851822e-12,8.175630091539902e-17,5.918201362129672e-4,7.47774594870039e-7,4323.200610635678,18
ECLI:EU:C:1976:22,17,1,2.0254209353175707e-4,9.573389595295785e-13,0,8.902096409661717e-4,8.620544591271122e-10,6851.345816929726,17
ECLI:EU:C:1976:57,18,1,9.023981388970678e-5,1.1055547217998502e-8,2.5222688580282603e-17,8.547428234540408e-4,3.960397234683584e-9,4349.150430952572,5
ECLI:EU:C:1976:69,35,1,6.433509453015233e-5,1.1011595231758542e-11,0,0.001438367155448468,1.2111676207071077e-4,8065.669015766045,2
ECLI:EU:C:1976:115,14,3,6.845752745198665e-5,9.619296199780513e-9,5.305462080680159e-17,7.367097233438482e-4,5.317700398278854e-7,5589.304607849719,1
ECLI:EU:C:1976:130,0,2,3.158932163607213e-5,1.6973593897298116e-17,5.91428559813526e-17,0,5.896858569147827e-17,0,133
ECLI:EU:C:1976:180,6,2,6.298489561927966e-5,6.7081744284016605e-9,0,2.461713521318452e-4,2.4237993670825147e-9,1079.0208431436708,18
ECLI:EU:C:1976:192,2,1,4.418325812127359e-5,2.5652399826685842e-17,0,1.0075149188161172e-4,2.1121148709068647e-13,7748,40
ECLI:EU:C:1977:11,0,2,3.158932163607213e-5,1.0609021883359508e-10,0,0,5.896858569147827e-17,0,25
ECLI:EU:C:1977:12,14,1,1.6264581284289575e-4,5.81284992149382e-9,0,0.0020092922782524564,2.5573389257776782e-9,2889.0819794473978,1
ECLI:EU:C:1977:13,0,1,3.158932163607213e-5,2.0581340627166015e-10,0,0,2.948429284573913e-17,0,38
ECLI:EU:C:1977:30,9,1,7.150722781138696e-5,8.180749815885749e-10,1.3052174048989812e-17,3.937091546757721e-4,1.2066847416267927e-7,810.4515674980325,24
ECLI:EU:C:1977:51,26,1,1.2336121856736354e-4,7.730844381263054e-12,1.0441739239191809e-17,0.0012581699910684987,7.873723698338043e-7,4703.055462413693,17
ECLI:EU:C:1977:52,43,1,1.8154353876769026e-4,8.569798898057138e-12,9.571594302592493e-18,0.0023787887901645603,2.0915324623404713e-6,7817.905825626233,2
ECLI:EU:C:1977:91,4,2,4.8996249457314014e-5,3.779223384012066e-8,0,1.5985659997825186e-4,4.391652128417218e-10,2333.9357841677297,1
ECLI:EU:C:1977:92,2,2,3.942646560434697e-5,1.8163668017631325e-11,0,9.433636534733771e-5,6.562324138702327e-11,1180.6329557336298,1
ECLI:EU:C:1977:111,2,4,6.006334520774363e-5,1.4055738024734166e-8,0,1.046817064251458e-4,5.416385708509491e-10,6475.850988191993,11
ECLI:EU:C:1977:121,0,1,3.158932163607213e-5,8.410813518874638e-11,1.479246392218835e-17,0,2.948429284573913e-17,0,145
ECLI:EU:C:1977:132,2,1,4.2379434696387286e-5,1.3743131888537116e-11,5.307884113255847e-17,9.090611822590717e-5,2.0088245115349958e-12,1.9666666666666666,54
ECLI:EU:C:1977:148,6,1,5.4527163347785434e-5,5.929237325210021e-17,5.916985568875386e-17,4.76426555951859e-4,8.481244836873012e-7,3834,7
ECLI:EU:C:1977:150,0,1,3.158932163607213e-5,3.2982945382574975e-11,0,0,2.948429284573913e-17,0,233
ECLI:EU:C:1977:154,4,1,4.6592023198007965e-5,2.232414134614007e-11,0,1.6361109158378353e-4,2.8805359656855617e-13,2,42
ECLI:EU:C:1977:155,1,1,4.7383982454108197e-5,2.232411530972228e-11,0,3.158932163607213e-5,5.891263826672354e-17,1,42
ECLI:EU:C:1977:163,0,1,3.158932163607213e-5,6.535149919972488e-11,2.871478290777767e-17,0,2.948429284573913e-17,0,1
ECLI:EU:C:1977:169,5,1,3.598190919482344e-5,5.1919228391735416e-17,0,1.9955530549362245e-4,1.2353158684373945e-6,594,217
ECLI:EU:C:1977:172,38,1,1.8450394292132265e-4,5.812850129785162e-9,0,0.0018315114006903506,2.2644079769290873e-8,633.1164255284392,35
